Configuration;Retail.Price;Screen.Size..Inches.;Battery.Life..Hours.;RAM..GB.;Processor.Speeds..GHz.;Integrated.Wireless.;HD.Size..GB.;Bundled.Applications.;Bought
320;545;15;6;1;2;No;300;No;0
23;515;15;4;1;2;Yes;300;Yes;0
169;395;15;5;1;2;No;40;Yes;1
365;585;15;6;2;2;No;120;Yes;1
309;555;15;6;1;2;Yes;120;Yes;0
75;465;15;4;2;2;No;80;Yes;1
346;450;15;6;2;1,5;No;40;No;1
70;455;15;4;2;2;Yes;120;No;1
351;620;15;6;2;1,5;No;300;Yes;0
209;465;15;5;2;2;Yes;40;Yes;1
359;665;15;6;2;2;Yes;300;Yes;1
300;440;15;6;1;1,5;No;80;No;0
363;565;15;6;2;2;No;80;Yes;1
22;405;15;4;1;2;Yes;120;No;1
53;480;15;4;2;1,5;Yes;120;Yes;0
310;505;15;6;1;2;Yes;120;No;0
314;425;15;6;1;2;No;40;No;1
320;545;15;6;1;2;No;300;No;1
299;490;15;6;1;1,5;No;80;Yes;0
205;480;15;5;2;1,5;No;120;Yes;0
216;535;15;5;2;2;Yes;300;No;1
203;460;15;5;2;1,5;No;80;Yes;1
209;465;15;5;2;2;Yes;40;Yes;1
368;595;15;6;2;2;No;300;No;1
293;530;15;6;1;1,5;Yes;120;Yes;1
352;570;15;6;2;1,5;No;300;No;1
215;585;15;5;2;2;Yes;300;Yes;1
347;540;15;6;2;1,5;No;80;Yes;0
340;510;15;6;2;1,5;Yes;80;No;0
151;510;15;5;1;1,5;Yes;300;Yes;1
344;590;15;6;2;1,5;Yes;300;No;1
337;520;15;6;2;1,5;Yes;40;Yes;1
293;530;15;6;1;1,5;Yes;120;Yes;0
213;525;15;5;2;2;Yes;120;Yes;0
200;510;15;5;2;1,5;Yes;300;No;0
152;460;15;5;1;1,5;Yes;300;No;0
197;500;15;5;2;1,5;Yes;120;Yes;1
9;350;15;4;1;1,5;No;40;Yes;1
217;445;15;5;2;2;No;40;Yes;0
163;455;15;5;1;2;Yes;80;Yes;0
19;435;15;4;1;2;Yes;80;Yes;0
340;510;15;6;2;1,5;Yes;80;No;0
16;420;15;4;1;1,5;No;300;No;0
80;495;15;4;2;2;No;300;No;1
320;545;15;6;1;2;No;300;No;0
215;585;15;5;2;2;Yes;300;Yes;1
167;535;15;5;1;2;Yes;300;Yes;1
291;510;15;6;1;1,5;Yes;80;Yes;0
218;395;15;5;2;2;No;40;No;1
345;500;15;6;2;1,5;No;40;Yes;0
311;615;15;6;1;2;Yes;300;Yes;1
175;515;15;5;1;2;No;300;Yes;0
1;370;15;4;1;1,5;Yes;40;Yes;0
222;455;15;5;2;2;No;120;No;1
