iter	Logloss
0	0.6921626501
1	0.6916874313
2	0.6905619214
3	0.6898103225
4	0.6895451659
5	0.6889044204
6	0.6886863114
7	0.6879717869
8	0.6878453796
9	0.6874306009
10	0.6868169823
11	0.6864692004
12	0.6862708025
13	0.6859238083
14	0.6857128588
15	0.6855195228
16	0.6853055449
17	0.6850913934
18	0.6847467555
19	0.6844843665
20	0.6843068344
21	0.6840298908
22	0.6837452879
23	0.6836167879
24	0.6834841345
25	0.6834665257
26	0.6833260424
27	0.6830753005
28	0.6828210505
29	0.6827755683
30	0.6826832801
31	0.6826118033
32	0.6825356904
33	0.682428488
34	0.6823484834
35	0.6822746073
36	0.6821234543
37	0.6820744986
38	0.6819893158
39	0.6819640127
40	0.681835958
41	0.6817415179
42	0.6816251968
43	0.6816247999
44	0.6815940944
45	0.6815329618
46	0.6814168509
47	0.6813395471
48	0.6812874119
49	0.6812737805
50	0.6811164334
51	0.681018181
52	0.680993128
53	0.6809181282
54	0.6808361461
55	0.6807056745
56	0.6806319504
57	0.6806311089
58	0.6805402664
59	0.680497944
60	0.6804006841
61	0.6803142458
62	0.6802436938
63	0.6801196801
64	0.6801017744
65	0.6800673745
66	0.6800002038
67	0.6799613475
68	0.6798910787
69	0.6798669674
70	0.6797701512
71	0.679740087
72	0.6797197956
73	0.6796225999
74	0.6795717792
75	0.679530012
76	0.6795048376
77	0.6794903759
78	0.6794239476
79	0.6793206005
80	0.6792345735
81	0.6791818289
82	0.6791156351
83	0.6790810312
84	0.6790647597
85	0.6790151859
86	0.6789790231
87	0.6788956102
88	0.6788551915
89	0.6788105017
90	0.6787632676
91	0.6787389738
92	0.6786840337
93	0.678652102
94	0.6786276992
95	0.6786073511
96	0.6785611702
97	0.6785288886
98	0.678493733
99	0.6784533716
