iter	Passed	Remaining
0	64	6406
1	69	3412
2	73	2392
3	79	1900
4	86	1638
5	90	1418
6	95	1265
7	99	1144
8	102	1040
9	106	961
10	110	895
11	115	844
12	118	795
13	122	753
14	126	717
15	130	685
16	134	658
17	138	631
18	142	607
19	151	607
20	155	584
21	159	563
22	162	543
23	165	525
24	169	508
25	172	490
26	178	482
27	182	469
28	186	456
29	190	444
30	194	433
31	199	424
32	202	411
33	206	400
34	209	389
35	213	380
36	218	371
37	221	360
38	224	351
39	227	341
40	232	334
41	236	326
42	240	318
43	245	312
44	249	304
45	252	296
46	256	289
47	259	281
48	263	274
49	266	266
50	274	264
51	278	257
52	282	250
53	285	243
54	289	236
55	292	229
56	296	223
57	299	216
58	302	210
59	306	204
60	309	198
61	313	192
62	317	186
63	320	180
64	324	174
65	327	168
66	331	163
67	335	157
68	338	152
69	342	146
70	345	141
71	350	136
72	353	130
73	357	125
74	360	120
75	364	115
76	368	110
77	372	105
78	376	100
79	382	95
80	386	90
81	393	86
82	397	81
83	401	76
84	406	71
85	409	66
86	413	61
87	417	56
88	421	52
89	424	47
90	427	42
91	431	37
92	435	32
93	438	28
94	442	23
95	445	18
96	449	13
97	453	9
98	456	4
99	460	0
